NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;59.6934;0.858062;69.5676;30.2760;2344;1612.6505;83398;41455;2.2815;260;34;29;1240;1104;1303;1086;68789;35924;39249;49494
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;No;61.059;0.850072;71.8280;30.7151;2378;1632.0380;87017;39337;2.3063;262;42;35;1243;1135;1314;1121;71515;34067;41630;51393
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;105;0.0000;8512;15;0.6755;23;43;0;59;46;55;2;8426;12;741;653
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;191.6742;106.4856;75;8457.8032;5414;543;1.9866;41;1;10;64;11;66;11;3491;385;77;97
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;Si;;;203.0327;117.8441;83;8569.9681;5435;601;2.2959;49;1;13;70;13;75;13;3413;420;69;82
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;No;64.5929;0.855723;75.4834;32.2780;2499;1622.5832;88380;37242;2.4846;268;37;32;1307;1192;1412;1185;72293;32229;44060;52007
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;--;;;0.0000;0.0000;104;0.0000;8648;17;0.7464;30;43;0;65;39;62;2;8562;13;748;679
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;--;;;0.0000;0.0000;106;0.0000;8572;21;0.7646;39;42;0;67;39;63;2;8485;16;780;719
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;Si;;;215.8109;127.7828;90;8838.3121;5578;647;2.2676;55;1;14;74;16;75;16;3564;449;63;74
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;No;68.2747;0.860334;79.3583;34.4609;2668;1586.9598;87769;35095;2.7329;271;41;32;1389;1279;1497;1287;71593;30278;46759;54100
